"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
12339.0738500919,-12.9017590566515
12926.6081401913,-13.5102115263104
13542.1183178035,-14.097245361543
14186.9364758724,-14.6659085296171
14862.4581359502,-15.2177554581764
15570.1452683984,-15.753829276677
16311.5294563976,-16.2765122677504
17088.2152106148,-16.788272457417
17901.8834417,-17.2900551761057
18754.2950981294,-17.7818352302107
19647.2949772663,-18.2655070077443
20582.8157178895,-18.7397847124973
21562.8819828277,-19.205771336387
22589.6148407548,-19.665587720569
23665.2363566259,-20.1209242576189
24792.074400692,-20.5707515572243
25972.5676864983,-21.0165493234924
27209.2710487714,-21.4593671363753
28504.8609726167,-21.9003627112437
29862.1413859926,-22.3390336582554
31284.049727998,-22.7682594468176
32773.663306106,-23.1952443006058
34334.2059561012,-23.6205713269735
35969.0550191364,-24.0445541107221
37681.7486510054,-24.4673328409115
39475.993479454,-24.8890426890013
41355.6726260981,-25.3045627779539
43324.8541103127,-25.7188131145722
45387.7996532776,-26.1329228257032
47548.9739012349,-26.5475451519092
49813.0540879183,-26.9618570804096
52184.9401570669,-27.3678427657899
54669.7653669292,-27.7723374828066
57272.9073997099,-28.1801133629349
59999.9999999998,-28.5907810425968

